text,emotion
"ve çılgınca bir kahkaha attı; ""Sanırım orada tazılar onun yolunun kokusunu kesinlikle alacaklar; ben rale tutuklamasında eğlenceyi göze alıyorum.",excitement
"Gaza basan Conover, motorsuz trene, pejmürde iki figüre ve platform boyunca heyecanla koşarak gelen kalabalığa bakarken büyük bir keyifle yüksek sesle güldü.",excitement
"diyor açgözlü bey, sevinçten titreyerek ve elinde tuttuğu üç taçlı kafaya bakarak; 'Düzeltilmesi bu kadar kolay olan bir yanlış yüzünden bütün gece bağırma.",excitement
"diye haykırdı Madam Goethe neşeyle gülerek, 'gelin, bahçedeki kuyuya gidelim; orada pompalayabilirsin.""",excitement
"Peder Mathurin, üzerinde gemilerin fırtınadaki saman parçaları gibi koştuğu Maelstrom'un, devasa, huni benzeri duvarların yırtıcı girdabını izlerken sersemliyor.",excitement
"Ha, ha, ha!-peki--ha, ha, ha!-ama bu dakikada aşık olacak kadar güzelsin!” diye bağırdı diğerinin kanlı yüzüne yürekten gülerek.",excitement
"Çok uzaklardan, çok hoş bir şekilde, derinlerden bir ateş gibi yükseliyordu.",excitement
"Ve bir keresinde, keyif dolu bir kıkırdamayla, ""Vallahi, ne kadar berbat bir yenilgiye uğrayacak!""",excitement
"Back o' Beyond'da bu muhteşem genç vahşiyi boyalı saçlı bulduğu için son derece gıdıklanan Archie, neşeyle bağırmaktan başka bir şey yapamadı ve Désirée hiç alınmamış bir şekilde ona katıldı.",excitement
"ha!' diye güldü Usta Bates, 'bu ne kadar şakacı bir hareket olurdu, değil mi Fagin?",excitement
Yaptığın şeye atlıkarınca gibi gülüyorum.,excitement
"O halde yaşasın Saray, buz kralı, kar; Çevrelerinde neşe ve neşe aksın, Yaşasın Valimize, ülkemize ve anamıza, Ve Tanrı sevgili Kraliçemizi korusun ve uzun süre hüküm sürsün.",excitement
"Sizinle gelmeyi çok isterim,” diye güldü kablosuz mühendislerin en tanınmışlarından biri olan Bay Millard.",excitement
On sopayı taşıyacak ve neşeyle gülecek-- Sopaları elinde tutan çocuk.,excitement
"Sonra hafif bir kahkaha atarak ekledi: ""Kafamda Paris var!""",excitement
"Bir tarlada, üç şahin gule, tam anlamıyla, kana bulanmış bir yürekle dolu - aha, işte iyi bir ganimet, sanırım!”",excitement
"Mayıs çılgınlığının maskeli, mutlu bir kurbanı - bu yıllardır başıma gelen en neşeli şey - yıldızların altında yalnız başına dans eden bir kız - Columbine Harlequin'i oynuyor!""",excitement
"Babam güvenliğini sağladığında şeytani bir neşeyle gülüyor, açgözlü berberin ondan hiçbir ücret alamayacağını düşünerek.",excitement
"Görüşme çok hareketliydi ve neşe ve kahkahalarla çeşitleniyordu; Sophy, kendi deyimiyle, heyecandan, yarışın, gece havasının ve özgürlüğün heyecanından çılgına dönmüştü.",excitement
"Bu bizim savaş gemimizdi. Clampherdown Dört yüz adam kustu; Ve haşlanmış ateşçiler sevinç çığlıkları attılar, Bellerinde yuvarlanıp çelik duvarlı ağıllarının üzerinden Damga kavgasını duydular.",excitement
Çoğu zaman sığırlarla dışarıda kalıyorum ve gıdıklanıyorum.,excitement
"Şu Joe denen adam çok çirkin,"" dedi Bayan Maclan neşeyle; ""ama şimdi onu sevmeye çalışacağım!""",excitement
"Polly neşeyle bağırdı: ""Kahvaltısını bitirmemiş bir çocuğun yardım etmeye çalışması fikri.",excitement
dedi usulca ama gözlerinde sıvı ateşe benzer bir parıltı vardı.,excitement
Çift sıra parlak yapraklı kamelya çalılarının arasındaki orta sokağı hızla geçti; yere eğik gözlerinde kahkaha ve kalbinde lezzetli bir heyecan ürpertisi vardı.,excitement
"Arni keyifle başını salladı, şiddetle boğazını temizledi ve bir tutam enfiye çekti.",excitement
"Bu kapı bir hiç,"" diye seslendi Peggy ve hep birlikte, bir buçuk metrelik demir kapının üzerinden sanki on beş santimlik bir mesafe varmış gibi geçtiler; eller sallanıyor, gözler parlıyor, dudaklar neşeli bir kahkahayla aralanıyordu.",excitement
"diye mırıldandı okul müdürü, gözleri zevkten parlayarak.",excitement
"Böylece hep birlikte bağırışlar, kahkahalar ve borular çalarak ava ya da turnuvaya giderdik; İlk olarak Snowflake'te; Wilfred, hemen arkanda.""",excitement
"Belki de bunu yapmaması onun için iyi olur,"" dedi albay neşeyle kıkırdayarak.",excitement
"Mutlulukla dolu olan Charles X., birlikler sıraya girerken kendisine katılan subaylara şunları söyledi: ""Tüm Ulusal Muhafızların inceleme için toplanmamasından üzüntü duyuyorum.""",excitement
"Ah, ama muhteşemdi,"" diye haykırdı çılgınca bir zevkle, ""efendisinin ilikli bir öküz gibi yere yıkılmasını ve leydi hazretlerinin çalıların arkasında ellerini çırpmasını görmek!",excitement
Apollon onların ziyafetlerinden ve ilahilerinden sonsuza dek ayrı bir keyif alır ve tuhaf hayvanların anıran rampasını görünce güler.,excitement
"Davasında son derece coşkulu, neşeyle dolu ve kendi becerikli elinde affedilebilir bir kendini beğenmişlik gösteren Amblem, bu ayrıntıları bir mucizeye dönüştürdü.",excitement
"Dostluk, aşk ve tüm bu yaşam, Bu çekişme sahnesini neşelendirmeye elveriyor, Peri gücünüzü kullanarak, Neşeli saati neşeyle geçirin, 40 Sevinç ve neşe yeni bereketler getirirken, Ve ilgi, bir süreliğine acısını unutur.",excitement
"tüccar şakacı bir şekilde bağırdı; ""Her şeyin üstünde ve ötesinde, büyük depo, büyükannemizin meşe presleri ve beyaz çamaşır yığınları; sonra, ayrı bir yan odada katı kardeşin; sonra...""",excitement
gömlekler!” Alfred keyifle kıkırdadı ve ellerini yüzünün önünde çırptı.,excitement
"eğlenerek bağırıyor: ""Eğer beni istiyorsan, beni takip et ve yakala!""",excitement
"Üzerinizde her türden küçük böcek dolaşırken kumun üzerinde uzanmak ve suyun çalkalanmasını dinlemek gerçekten çok keyifli!""",excitement
"Kruvazörlerden kaçarak ve ödül olarak iki büyük tüccarla birlikte gelişinin beklenmedik ve romantik tavrı, büyük ilgi ve zevk uyandırdı.",excitement
"diye haykırdı ev sahibi, aynı zamanda davetsiz misafirin kıvırcık kafasına bir tavuk kemiği fırlatırken, amacını tutturamadı; neşeli ""he-he-he!""",excitement
"Keman çaldıktan sonra - ""Şimdi,"" dedi Simon Jefferson neşeyle, ""sadece bir perde daha var, ama bu bir korsan, size söyleyeyim - bu yüzden bir dakika dinleniyor.",excitement
"diye bağırdı genç adam, önünde zavallı, savunmasız bir yaratığın parçalara ayrıldığını görme ihtimali karşısında oldukça eğlenmiş ve memnun görünüyordu - ne kadar da barbardı!",excitement
"O şeye binmek benim için üç halkalı bir sirkten daha eğlenceli olacak, hiçbir şey söylemeyin, diğer insan avcılarının 'işaretler' verip vermediğini öğrenmemiz daha yararlı olacaktır.",excitement
"diye haykırdı General, onun maskaralıklarından oldukça keyif alan General, ""sanki onları takip etmek istiyormuşuz gibi!""",excitement
"Wulf, Sigrid'in sandığını kabine taşıyıp ortadan kaybolduğunda Astrid neşeyle bağırdı.",excitement
Sanki onun itirazını bekliyormuşçasına yüzü neşeyle aydınlandı.,excitement
Etrafta uçuşan gölgelerimize bakarken ölesiye gıdıklanıyordum; kolayca memnun olduğum anlardan biriydi; Can-can'dan keyif aldığımı söylemeliyim.,excitement
"Eric, Rheinland'a yayılan ve sakinlerinin çevresine giren herkesi etkisi altına alan o neşeli heyecanı, coşkulu mizahı son derece övmekten kendini alamadı.",excitement
"Kötülük ve aptallığı avlayanların hepsi Avlarının uçtuğunu görmek için sevinç: İşte oyunbaz, hafif ve neşeli, İşte borç veren, ciddi ve kurnaz.",excitement
"Büyük bir keyif duygusuyla ellerini ovuşturdu ve devam etti: ""İşte oradaydın Jeremiah, bu iyi avukat-beyefendi özel bir kutuda sevgiline kur yaparken her zaman çukurda oturuyordun.",excitement
"Hava sıcak ama çevikti, canlı ve teşvik edici nitelikteydi.",excitement
"Neşeyle, şarkılarla ve berrak tınılarla, Mersin çardaklarından bir grup kadın ilerliyor; Küçük savaşçılar hedef ve mızraklarını çıkarırlar ve yüksek, canlandırıcı sesler dansı kışkırtır.",excitement
Bu beni eğlendiriyor ve birinin boşanmış karısıyla Nice'teki bir baloda dolaşması eğlencenin sonu değil.,excitement
"Buraya bakın - tüm açılar için isimler var... 'Şin' - eğlenerek hayranlık dolu bir zevkle okudu, 'ş-şin'... bunun sonu yok.""",excitement
Sonra büyük bir keyifle ağır ağır yürüyen adamın üzerine atladı.,excitement
"dedi Barby, King'in tekeli sayesinde Fleda'nın ona vermek zorunda olduğu tek eli almak için öne çıkarken gri gözleri zevkle parlıyordu.",excitement
"fal lal de riddy, riddy, sparkey, larkey, komik, aptal, tuhaf, baş döndürücü, O.""",excitement
"Bu Parislilerin, erkeği, dişiyi aldatması halinde onu öldürmeye teşvik eden acımasız içgüdülere karşı protestoda bulunduklarını, hoşgörü ve mantığı vaaz ettiklerini duymak çok keyifli!",excitement
"Bu beni çok mutlu ediyor, ustaca bir hakaret; ama yine de İngiltere Kralı'nın kendisine hakaret edilecek kadar küçüldüğünü görmek beni kızdırıyor.",excitement
"Chihuahua ""serisini"" duyan madenciler ayrıntıları öğrenmek için Blue Bar'a akın etti ve doğal olarak o topluluğa yayılmış gibi görünen genel sevinç ve neşe duygusuna katıldılar.",excitement
"Sanırım seninle burada tanışmak, seninle eski güzel bir hikayeyi konuşmak ve koluma yaslanman çok keyifliydi.",excitement
Paniğe kapılan Düzkafalı muhafızların arkadaşlarına çılgınlar gibi bağırdığını duyduklarında çocuksu bir neşeyle kıkırdadılar.,excitement
"Önündeki aynaya bakarken neşeyle şöyle dedi: ""Muhteşem Bay Maximilian Bray'in huzuruna çıkmaya hazır mıyım?""",excitement
"Ve sanki Su Samuru'na olan görevimi bitirdiğimde, bu yakıcılara ve katillere bir kez daha bakmak için onunla birlikte gideceğim; bu yüzden mutluyum.",excitement
"Lightnin', Marvin ve Millie'yi işaret ederek, yaşlı, kurnaz gözleri tuhaf bir mutlulukla parıldayarak haykırdı:",excitement
"Bahse girerim bunu öğrendiğinde ölesiye gıdıklanacaksın - işte, dikkat et!""",excitement
"Efendim, öyle tuhaf bir şekilde değiştiğinizi görmek ki, eski palyaço leşinizin bir santimini bile göremiyorum: ha, ha!",excitement
"Kalenin yanından geçerken yüksek sesle tezahürat yaptılar ve gürültülü bir neşeyle garnizona, Korintliler'e karşı tam bir zafer kazandıktan sonra geri döndüklerini, bu yolla kuşatma altındakilerin moralini bozmayı umduklarını haykırdılar.",excitement
Cenevre rıhtımında gün ortası çok heyecanlı ve hareketli geçiyor.,excitement
Mavi gözleri haylazlıkla dans ediyordu ve zevkle ellerini çırpıyordu.,excitement
BEN BOLT'u görünce nasıl da neşeyle kıkırdadı ve bizden fazladan yarım kron talep etti.,excitement
"Heyecanla dinliyoruz, palyaço, pantaloon, palyaço ve kumru pan-boruların sesi ve Punch'ın sesiyle kayboluyor.",excitement
"O da Hannah'ya başını salladı, bu arada neşe ve haylazlık nöbeti içinde kendini toparlamıştı.",excitement
"Koyastiva'ların ve coel'lerin neşeli notalarından, geyiklerin ve sayısız çılgın fillerin çığlıklarından keyif alarak, uğurlu dağa vardığınızda o romantik sığınma evinde ikamet edersiniz.""",excitement
Yüzü acayip bir neşeyle doluydu ve kalçalarını sallayarak yürüyordu.,excitement
"Tüylü kolundaki peri yıldızlarına ve taçlara daha yakından bakarken, yüzü çocuksu bir zevkle parlayarak kolunu kapının içinden uzattı.",excitement
"Salondaki kanepenin üzerine yastıklı bir şekilde yerleştirilmiş olan fikir, okyanus eşlerinin ""bir baloncuk gibi ileri doğru taşınması"" fikri çok hoş.",excitement
"Bastırılmış bir neşeyle kıkırdayan Randolph ve Laura, Jimmie'yi Pendleton'a doğru yürüttüler; o da korkuyla kaşlarını çatarak çocuğu ölçtü ve diğer mahkumların nerede olduğunu sordu.",excitement
"Yaratık sevinçle ellerini çırparak bunu tekrarladı; ""Kendi orman evime davetsizim!",excitement
"Ve şimdi yine kapkara, — ve şimdi gürültülü tepelerin neşesi dağ neşesiyle titriyor, Sanki bir gence sevinmişler gibi; depremin doğuşu,",excitement
"Dinle, dörtnala giden ölçü zevkin nabzını nasıl hızlandırıyor; Sabahı neşeyle selamlıyoruz Vadiden yankılanan av borusunun uzun net sesiyle, Dağın yamacında, - Toplanın, ey avcılar, toplanın, Toplanın ve ilerleyin!",excitement
"Tüm o İnka kalıntılarını bulduğumuzu bilmek sizi ölesiye gıdıklayacak.""",excitement
Elini ve ayağını bağlayan bebekten doğrudan kurtulacağını düşünmek onu sevindiriyor ve gıdıklıyor.,excitement
"""Ordu"", Drak üzerindeki bir köprüyü yıkmak için Grenoble'dan küçük bir müfrezenin gönderildiği bir sonraki köy olan Laffray'e doğru yola çıktığında hem adamları hem de izleyiciler arasında büyük bir sevinç vardı.",excitement
Başarılı spekülasyonları karşısında ticari bir neşeyle ve kendi mezhebinin zulmüne karşı püriten bir zaferle kıkırdadı ve sırıttı.,excitement
"İyi sancağını herkesin etrafına topladı, tüm adamları hem katip hem de meslekten olmayan; Silahlanma çağrısı, ünlü şövalye Axel'in kalbine ani bir neşe getirdi.",excitement
"Bir zevk ateşi içinde, sersemlemiş ve inleyerek sokaklarda dolaşıyordum.",excitement
"Sen Lucetta'yla birlikte dört ateşli Arap'la benim Victoria'ma gideceksin, ben de mutlu çifti daha sade bir arabada takip edeceğim,"" diye devam etti yaşlı baron keyifle başını sallayarak.",excitement
O neşe ve eğlenceyle dolu ve onunla mutlu bir hayatım olmalı.,excitement
"İşte şimdi geliyorlar,"" diye ekledi ve Diamond X çiftliğinden diğer kovboylardan oluşan bir grup kavga ihtimalinden büyük bir mutlulukla yaklaşırken.",excitement
"Ey düşmanların katili, danışmanlarını şehre gönder ve hepimiz bu ormanın tadını aşkla coşarak çıkaralım.""",excitement
"Kendi kendine neşeyle kıkırdamaya devam etti ve kadın ona baktığında büyük bir sevinçle ona ""Mas'r yalnız değildi.",excitement
"Bu nedenle Newton, kendisini kendi efendisi olarak bulduğunda ve Terpsichore'un gövdesinin ve brandasının yavaş yavaş ufkun altına doğru batışını büyük bir mutluluk duygusuyla izledi.",excitement
Harika bir fikir; biblo onun pürüzsüz beyaz boğazının etrafında ne kadar güzel görünecekti!,excitement
Highland Fling'de dans eden bu devasa maymunun görüntüsü sarhoş Hollandalıyı çılgınca bir neşeye sürükledi; sevinçle uludu.,excitement
"Henüz ölmediğimizi adım adım keşfetmemiz, beş metre ileride orada ne varsa ona karşı bu uçan, barınaksız meydan okuma çok eğlenceliydi.",excitement
"O kadar neşeli, o kadar neşeli ve iyi huyludurlar ki her yerde karşılanırlar.",excitement
"Onları görünce şiddetle mırıldandı ve Simmons keyifle bağırdı: ""İşte şimdi daha iyi - bana küfrediyor!""",excitement
"Ey Kākustha, seni takip etmek amacıyla çılgın filler kükresin; ve iç apartmanlardaki kadınların konsantre zihinlerle sevinçlerini dile getirmelerine izin verin.""",excitement
"Saygıdeğer beyefendi ""düşmanlarını seviyor"" ve yine de Ölüm'ün buzlu parmakları kalbimin tellerini yokladığında katlanacağım acıları düşündüğünde neşeyle doluyor!",excitement
Ha'nın keyfi yerindeydi ve çok eğlenceliydi; Hintli çetelere karşı geçmişte kazandığı zaferleri anlatıyor ve İrlandalılara karşı gelecekteki zaferlerini tahmin ediyordu.,excitement
Yüzü güneş gibi göz kamaştırıyordu ve gözleri alevli ateş gibi savaşıyordu.,excitement
"diye bağırdı Lambourne, çok heyecanlanarak; ""Direkler tahtadan çıkmış olabilir; aşağıda hangi şeytanın işinin peşindesin?""",excitement
"Çılgınca eyere atladım, deli gibi eve doğru koştum, dişlerimi gıcırdattım ve Gelir Araştırması'ndan Jenkins'e küfrettim.",excitement
"tutkudan morarmış bir halde, 'onu çağırmak istiyorsun, değil mi?' diyor.",excitement
"Dişleri sıkıldı ve gözlerinde tutku parlayarak şunları söyledi: ""Hayır - seni cadı!",excitement
"diye bağırdı Laura, ateş ederek ve hırçın bir şekilde konuşarak, ""yapacak - aldatıcı bir yaratık!",excitement
Ani bir tutkuya kapıldı ve kükredi: 'Ateşe dayanıklı olanı kim düşürdü?,excitement
"Sana verecek hiç param yok,"" diye hırladı yaşlı Bay Peters, artık tamamen uyanmıştı, ""Ve elinden geldiğince bu evden defol, yoksa gitmen için sana para vereceğim.""",excitement
"Aniden irkildi, bıçağı sıkı bir şekilde kavradı, gözleri parladı, dişleri ve burun delikleri yerine oturdu ve erkekliği bir kez daha kalbini ateşle doldurdu.",excitement
"Eğer seni dünyanın her yerinde avlamak zorunda kalırsam, bunun için seni öldürürüm!""",excitement
"Ferrand dudağını ısırdı ve tutkuyla ayağını yere vurarak haykırdı: ""Daha ne kadar hakarete maruz kalacağım?",excitement
nefesi kesilen bir tutkuyla bağırdı ve kafatasını yere fırlattı.,excitement
"Ayağa fırladı ve 'işte buradasın, Ed Harmon, o şerri şekerimin üzerine koyma!'",excitement
"Aman Tanrım!"" ve üzerine bir tutku dalgası gelir ve öfkeyle bir mesafe boyunca atını sürer.",excitement
"Bırak savaşayım, diyorum; gündüzün geceyi aştığı kadar barışı da aşar; canlı, uyanık, duyulabilir ve havalandırma dolu.",excitement
"Ve sonra öfkeli, şeytani bir tutkuyla: ""Anlatacaksın, yoksa uzun süre bakire kalamayacaksın!",excitement
"yalnız nehrin adı kulağına düştüğünde şiddetli bir tutkuyla haykırdı: ""Dua et, Hawash'ı, Ittoo'yu ya da Aroosi'yi nereden öğrendin?""",excitement
"Onu o duvarın üzerinden kendim atmak isterdim,"" dedi genç Speedwell tutkuyla.",excitement
"sesinde bir tutku tınısıyla, ""Bayan Flant'ın ağzını kapatmak için o zavallı çocukla evlenmem mi gerektiğini?"" diye patladı.",excitement
"Tutkudan köpürüyordu ve bunun için darağacına giderse, misafirperverliğini kötüye kullanan ve kızını çalan hergeleyi vuracağını söyledi.",excitement
"diye bağırdı Carey, irkilerek, 'Bu alçak Helen'le sevişmiş olmalı!",excitement
"Belki,"" dedi heyecanla ayağa kalktı, ""belki de Diabella tek başına Örümcek'tir.""",excitement
"O ölüyor', diye bağırdı, boğuk ve heyecanlı bir sesle, 'yokluktan ölüyor'.",excitement
"Rochas gürleyen sesiyle haykırdı; ve oldukça memnun bir şekilde Mulhausen'e doğru koşan Weiss'in peşinden koşarak ekledi: 'Onları ta geriye doğru tekmeleyeceğiz efendim, ta geriye doğru!'",excitement
Mor ve vahşi bir halde ayağa kalkıp Slone'a kötü niyetli bir tavırla bakarken derin bir nefes aldı.,excitement
"diye bağırdı genç kız, gözleri parıldayarak, sesi tutku ve öfkeyle titreyerek.",excitement
"diye sordu, elini tutkulu bir şekilde bastırarak ve gözlerinde yanan büyük bir ışıkla.",excitement
"Artık kendini iyice kaybetmişti ve tekrar tekrar seslendi: ""Artık anladın!",excitement
"Dostlarımızın önünde dümdüz yürüyen hangimiz, seninle serin, tatlı toprağın derinliklerinde uzanıp dinlenmek ve unutmak için tutkudan, intikamdan ve bu kan kırmızısı dünyanın tüm sıcak coşkularından vazgeçmez?",excitement
"Haber duyulurken Wolfe parlayan gözlerle bağırdı; ""İngiltere tüm dünyanın alay konusu olacak!",excitement
"diye bağırdı, kanı kaynayan ve savaşın çetin sınavlarını sabırsızlıkla bekleyen Jack.",excitement
Seni böyle görmediğim için haberi alır almaz atımı köpürttüm.,excitement
"Thornton,"" dedi Margaret, tutkusuyla baştan aşağı titreyerek, ""eğer korkak değilsen hemen aşağı in.",excitement
Tutkuyla kendinden geçmiş yumruklarıyla ona doğru yürüdü.,excitement
"Yargıç tutkuyla devam etti; ""'Tanrım efendim, bu tesadüf çok tuhaf!",excitement
"Ve bunu yapacağım,"" diye yüksek sesle bağırdı, ayağını vurgulu bir şekilde yere vurarak, ""ve kimin beni engellemeye cesaret edebileceğini görmek isterim!""",excitement
"Onu kızartılmış bir tarla kuşu gibi parçalara ayırabilirim - evet, dişliden uzuv, ben, Storri, onu parçalayacağım!",excitement
Bırak da ona ulaşayım!” dedi öfkeyle yanıma gelirken.,excitement
Bir kasırga göğsünü kasıp kavurdu ve damarlarındaki kanı köpürttü.,excitement
"Bunun yerini anında hem zaferi hem de intikamı ifade eden şiddetli, vahşi ve uzun bir çığlık aldı.",excitement
"diye bağırdı heyecanla ayağa kalkarak, ""Senin erdemlerine, çirkinliğin kucağında olsalar bile tapardım.",excitement
"Şiddetli bir şekilde bağıran Ahmed kılıcını düşürdü, döndü ve Abdul vuruşunu tekrarlayamadan tam hızla surlardan aşağı doğru yola koyuldu.",excitement
"Çadır kurulur kurulmaz çadırın içine atlayarak, tutkulu bir şekilde bağırdı; ""Bu, Ras el Kafilah olarak ayrıcalıklarıma yönelik, kabul edilemeyecek bir müdahaledir.""",excitement
"Çılgın bir manyak gibi ayağa fırladım, uçmak istedim; Masaya vurdum; düştü.",excitement
"Bayan _Lov._ [_öfkeyle_] Efendim _Harry_, ben dedikoducu değilim, buna güvenmiyorum; Bu Göğsünde kilitli, kendi [_aside_] içindeymişçesine emniyette ve emniyette.",excitement
Burada ne istiyorsun?' dedi tutkudan titreyen bir sesle.,excitement
"M. Antoniadi, sol elini tutacağından her zaman emin olmadığını söyleyen Eusapia, tutkuyla bana şöyle diyor: ""Emin olmadığı için iki elimi yine kendin tut.""",excitement
"Ormanda deliler gibi bağırarak, göğsümü döverek, her yerde uzanan tuğla yığınlarına takılıp tökezleyerek, hiçbir şeye aldırış etmeden dikenli çalıların arasından geçerek koştum.",excitement
Leo gözleri parlayarak ve yanağı alevler içinde sandalyesinden kalktı.,excitement
Petarches ona bakar ve gözlerinde ateşle ondan bahseder.,excitement
"Ben çayırdaki bir boğayım; ben istilacı bir ev sahibiyim; mahvediyorum, yanarak geliyorum.",excitement
"Sir Hudson Lowe tam anlamıyla bir cellattır; Bugün onu fırtınalı yüz ifademle, başım eğik ve kulaklarım dikilmiş halde karşıladım.",excitement
"Bana inandırıcı bir şekilde bilgi verildiği üzere çığlık atarak, tekmeler atarak, çığlıklar atarak, gizli dehanın tüm tutkusuyla, yepyeni bir çift ciğerin tüm gücüyle protesto ederek girdim.",excitement
Kesinlikle tutkuyla titriyordu ve suçluya sanki bir suç işlemiş gibi dik dik bakıyordu.,excitement
"Pensionnat'ta yeniden ortaya çıktığında ""ruhunda alev ve gözlerinde şimşek"" var.",excitement
Hepsi ava gelecekler; yüzleri yakıcı bir yel gibidir; ve tutsakları kum gibi bir araya toplayacaklar.,excitement
"diye itiraz etti Guy Little, gözlerinde sönmüş bir ateşten gelen hafif bir parıltıyı andıran bir parıltı vardı.",excitement
"Gaspar eşsiz bir hevesle sordu: ""Göğsünde buz, beyninde kurşun var mıydı?",excitement
"dedi Robert şiddetle; ""Bunu düşünmek beni çılgına çeviriyor"" ve beni bir an o kadar sıkı tuttu ki neredeyse nefes alamadım.",excitement
"Meg bir anda ayağa kalktı, gözleri parıldadı, burun delikleri titriyordu.",excitement
"Hayatım kadar güçlü, beni ateş gibi dolduruyor ve yakıyor!",excitement
diye bağırdı baba ayağa fırlayıp küreği uzatarak.,excitement
"Bu Bailey çılgınca bağırdı ve sonra yok olma riskini göze alarak dürbünü düşürdü, yakınlarda duran bir direği yakaladı ve ateşi her yöne dağıttı.",excitement
"ve bağırışlar, tezahüratlar, el sallanan giysiler ve ""Yolları Durdurun!"" çığlıkları.",excitement
ve bir hizmetçi - Isolda ya da onun ikizi! - Sonra çılgınca ayağa kalktım ve bağırarak atımın üzerine atladım; Kılıcımı kınından çıkardım ve onların rotasına doğru ilerledim.,excitement
"John ağlıyor; ""Bu adam kudretli bir Don: Hiç şüphe yok ki ağzına fazlasıyla yetiyor, bu Nongtongpati ile kahvaltı yapacağım.""",excitement
"Beyinlerinde kan kaynıyor; gözlerinin aklarını enjekte eder ve kendini ahlaksız bir eğlenceyle, düşene kadar dans etme veya kavga etme ihtiyacıyla ifade eder.",excitement
"diye bağırdı, tutkudan sarhoş bir halde, kadının solgun yüzü kendisine döndüğünde, ""senin oyunun bu mu?",excitement
"Günü idare edemeyeceğim kadar geciktim, bu yüzden yüz yıllık yasakları bir araya getirmeye çalışıyorum.""",excitement
Ağzı açık ve yumruğunu kaldırmış halde Parks'ı gördüm.,excitement
"Herkes uluyor, böğürüyor, ayağa fırlıyor ve konuşmak için bağırıyordu.",excitement
"Yarı çıplak olduğum halde, tutkudan deliye dönerek onun peşinden atıldım.",excitement
"Bilmeliydim” – çılgınca – “doğru mu yoksa yanlış mı olduğumu bilirdi, zavallı dostum – bilirdi.”",excitement
Umut etmeye cesaret ettiniz - neşeli olmaya cesaret ettiniz - bu intikamcının öfkeli sesiydi!,excitement
Kanı kaynıyordu ve gözlerinde bir ışık parlıyordu.,excitement
"Kendimize küfrederek, Carlota'nın neden fahişesini döndürmediğini, durmadığını, atlamadığını ve kaplan-kedi kavgalarından birini yapmadığını merak ederek ona doğru hızla ilerledik.",excitement
"Zihnin gözü, ne kadar acı verici olursa olsun, süper-süptil akıntıya eşlik etmeye çalışacak mı ve kendi yollarında ışın ve ışınları takip etmeyi başaracak mı, duyular zayıflayana kadar el genişliğinde - itiraf etti Hüsrana uğramış, bilinmeyen, tahmin edilmemiş eylem sonsuzluğundan kaçmış mı?",excitement
"Gidip o kemere bakmak, kızı görmek aptallık!",excitement
"üç iyi Krag tüfeği için,” diye bağırdı Sydney huysuzca; ""Bu güverteyi temizleyebilir ve sonra dümeni orada sıkıştırabiliriz ve onlar bizi alt edebildiklerinde, eğer öyle ise, savaş teknesi onları hızla harekete geçirebilir.""",excitement
